Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Regionname,DateSold,YearSold,Age,Grant
Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,2016-02,2.5,3067,1,0,156,79,1900,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4/2/2016,2016,116,FALSE
Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,2017-03,2.5,3067,2,0,134,150,1900,Yarra City Council,-37.8093,144.9944,Northern Metropolitan,4/3/2017,2016,117,FALSE
Abbotsford,55a Park St,4,h,1600000,VB,Nelson,2016-06,2.5,3067,1,2,120,142,2014,Yarra City Council,-37.8072,144.9941,Northern Metropolitan,4/6/2016,2016,2,TRUE
Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,2016-05,2.5,3067,2,0,245,210,1910,Yarra City Council,-37.8024,144.9993,Northern Metropolitan,7/5/2016,2016,106,FALSE
Abbotsford,98 Charles St,2,h,1636000,S,Nelson,2016-10,2.5,3067,1,2,256,107,1890,Yarra City Council,-37.806,144.9954,Northern Metropolitan,8/10/2016,2016,126,FALSE
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,2016-10,2.5,3067,1,2,220,75,1900,Yarra City Council,-37.801,144.9989,Northern Metropolitan,8/10/2016,2016,116,FALSE
Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,2016-11,2.5,3067,2,2,214,190,2005,Yarra City Council,-37.8085,144.9964,Northern Metropolitan,12/11/2016,2016,11,TRUE
Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,2016-11,2.5,3067,2,1,0,94,2009,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,12/11/2016,2016,7,TRUE
Abbotsford,16 William St,2,h,1310000,S,Jellis,2016-10,2.5,3067,1,2,238,97,1890,Yarra City Council,-37.809,144.9976,Northern Metropolitan,15/10/2016,2016,126,FALSE
Abbotsford,42 Henry St,3,h,1200000,S,Jellis,2016-07,2.5,3067,2,1,113,110,1880,Yarra City Council,-37.8056,144.993,Northern Metropolitan,16/7/2016,2016,136,FALSE
Abbotsford,78 Yarra St,3,h,1176500,S,LITTLE,2016-07,2.5,3067,1,1,138,105,1890,Yarra City Council,-37.8021,144.9965,Northern Metropolitan,16/7/2016,2016,126,FALSE
